Donor Agency,AMP ID,Project Title,Actual Start Date,Primary Sector,2004 Actual Commitments,2005 Actual Commitments,2006 Actual Commitments,2007 Actual Commitments,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,Total Actual Commitments
Department for International Development,8723823133,Support to National HIV/AIDS Programme - SNHP,02/10/2006,HEALTH, ,6830222.812, ,7001120.179,3233392.122,5576637.518,2558649.717,25099.984, , , ,25225122.34
Department for International Development,8723889744,UN Joint programme of support to LGCDP,01/04/2009,LOCAL DEVELOPMENT, , , , , ,2305209.774, , , , , ,2305209.774
Department for International Development,8723883714,NEPAL RURAL ACCESS PROGRAMME PHASE- II,,LOCAL DEVELOPMENT, , , , ,58849123.67, , , , , , ,58849123.67
Department for International Development,872381485,Pilot Trail Bridge Support Program,,LOCAL DEVELOPMENT, , , , , ,3047851.264, , , , , ,3047851.264
Department for International Development,8723883778,Local Governance and Community Development Program (LGCDP)- I Phase,16/07/2008,LOCAL DEVELOPMENT, , , , ,24088025.38, , , , , , ,24088025.38
Department for International Development,8723814104,Nepal Peace Trust Fund (NPTF),27/02/2007,PEACE AND RECONSTRUCTION, , ,59450273.52, , ,28488457.45, , , ,6286342.92, ,94225073.89
Department for International Development,8723868213,Energy Sector Assistance Programme Phase II (ESAP II),15/03/2007,ALTERNATE ENERGY, , , , , , ,3221649.484, , , , ,3221649.484
Department for International Development,8723863210223,Establishing Women and Children Service Centres- Additional Financing,,HOME, , , , , , , , , , ,3200000,3200000
Department for International Development,8723883713,Rural Reconstruction and Rehabilitation Sector Development Program[RRRSDP],01/02/2008,LOCAL DEVELOPMENT, , , , ,19386012.75, , , , , , ,19386012.75
Department for International Development,8723883662,Nepal Health Sector Programme NHSP-II,18/08/2010,HEALTH, , , , , , ,115477145.1, , , , ,115477145.1
Department for International Development,8723823125,Strengthening the Capacity of the National Human Rights Commission of Nepal (SCNHRC),19/07/2009,CONSTITUTIONAL BODIES, , , , , ,332612.672, , , , , ,332612.672
Department for International Development,8723893300,Multi Stakeholder Forestry Programme (MSFP),23/01/2012,FOREST, , , , , , ,32310177.71, , , , ,32310177.71
Department for International Development,87238311242,Nepal Strengthening Public Management Program,27/03/2013,LOCAL DEVELOPMENT, , , , , , , , ,6500000, , ,6500000
Department for International Development,87238764332,Nepal Family Planning Project - Family Planning Services for Excluded and Vulnerable Groups,01/09/2013,HEALTH, , , , , , , , ,23156611.82, , ,23156611.82
